# source: https://en.wikipedia.org/wiki/The_Big_Read
# fetched: 2026-08-18
# note: BBC The Big Read, UK public vote for the nation's best-loved novel, 2003; top 100 of the page's ranked top-200 list, in rank order; 100 entries captured; page gives no years
The Lord of the Rings	J. R. R. Tolkien	
Pride and Prejudice	Jane Austen	
His Dark Materials	Philip Pullman	
The Hitchhiker's Guide to the Galaxy	Douglas Adams	
Harry Potter and the Goblet of Fire	J. K. Rowling	
To Kill a Mockingbird	Harper Lee	
Winnie-the-Pooh	A. A. Milne	
Nineteen Eighty-Four	George Orwell	
The Lion, the Witch and the Wardrobe	C. S. Lewis	
Jane Eyre	Charlotte Brontë	
Catch-22	Joseph Heller	
Wuthering Heights	Emily Brontë	
Birdsong	Sebastian Faulks	
Rebecca	Daphne du Maurier	
The Catcher in the Rye	J. D. Salinger	
The Wind in the Willows	Kenneth Grahame	
Great Expectations	Charles Dickens	
Little Women	Louisa May Alcott	
Captain Corelli's Mandolin	Louis de Bernières	
War and Peace	Leo Tolstoy	
Gone with the Wind	Margaret Mitchell	
Harry Potter and the Philosopher's Stone	J. K. Rowling	
Harry Potter and the Chamber of Secrets	J. K. Rowling	
Harry Potter and the Prisoner of Azkaban	J. K. Rowling	
The Hobbit	J. R. R. Tolkien	
Tess of the d'Urbervilles	Thomas Hardy	
Middlemarch	George Eliot	
A Prayer for Owen Meany	John Irving	
The Grapes of Wrath	John Steinbeck	
Alice's Adventures in Wonderland	Lewis Carroll	
The Story of Tracy Beaker	Jacqueline Wilson	
One Hundred Years of Solitude	Gabriel García Márquez	
The Pillars of the Earth	Ken Follett	
David Copperfield	Charles Dickens	
Charlie and the Chocolate Factory	Roald Dahl	
Treasure Island	Robert Louis Stevenson	
A Town Like Alice	Nevil Shute	
Persuasion	Jane Austen	
Dune	Frank Herbert	
Emma	Jane Austen	
Anne of Green Gables	Lucy Maud Montgomery	
Watership Down	Richard Adams	
The Great Gatsby	F. Scott Fitzgerald	
The Count of Monte Cristo	Alexandre Dumas	
Brideshead Revisited	Evelyn Waugh	
Animal Farm	George Orwell	
A Christmas Carol	Charles Dickens	
Far from the Madding Crowd	Thomas Hardy	
Goodnight Mister Tom	Michelle Magorian	
The Shell Seekers	Rosamunde Pilcher	
The Secret Garden	Frances Hodgson Burnett	
Of Mice and Men	John Steinbeck	
The Stand	Stephen King	
Anna Karenina	Leo Tolstoy	
A Suitable Boy	Vikram Seth	
The BFG	Roald Dahl	
Swallows and Amazons	Arthur Ransome	
Black Beauty	Anna Sewell	
Artemis Fowl	Eoin Colfer	
Crime and Punishment	Fyodor Dostoyevsky	
Noughts & Crosses	Malorie Blackman	
Memoirs of a Geisha	Arthur Golden	
A Tale of Two Cities	Charles Dickens	
The Thorn Birds	Colleen McCullough	
Mort	Terry Pratchett	
The Magic Faraway Tree	Enid Blyton	
The Magus	John Fowles	
Good Omens	Neil Gaiman and Terry Pratchett	
Guards! Guards!	Terry Pratchett	
Lord of the Flies	William Golding	
Perfume	Patrick Süskind	
The Ragged-Trousered Philanthropists	Robert Tressell	
Night Watch	Terry Pratchett	
Matilda	Roald Dahl	
Bridget Jones's Diary	Helen Fielding	
The Secret History	Donna Tartt	
The Woman in White	Wilkie Collins	
Ulysses	James Joyce	
Bleak House	Charles Dickens	
Double Act	Jacqueline Wilson	
The Twits	Roald Dahl	
I Capture the Castle	Dodie Smith	
Holes	Louis Sachar	
Gormenghast	Mervyn Peake	
The God of Small Things	Arundhati Roy	
Vicky Angel	Jacqueline Wilson	
Brave New World	Aldous Huxley	
Cold Comfort Farm	Stella Gibbons	
Magician	Raymond E. Feist	
On the Road	Jack Kerouac	
The Godfather	Mario Puzo	
The Clan of the Cave Bear	Jean M. Auel	
The Colour of Magic	Terry Pratchett	
The Alchemist	Paulo Coelho	
Katherine	Anya Seton	
Kane and Abel	Jeffrey Archer	
Love in the Time of Cholera	Gabriel García Márquez	
Girls in Love	Jacqueline Wilson	
The Princess Diaries	Meg Cabot	
Midnight's Children	Salman Rushdie	
