# source: https://en.wikipedia.org/wiki/Bokklubben_World_Library
# fetched: 2026-08-18
# note: Bokklubben World Library, the 100 best books of all time as voted by 100 writers from 54 countries, compiled by the Norwegian Book Clubs, 2002; unranked (page lists alphabetically by author); 100 entries captured; author given as 'Unknown'/'Various' where the page prints that
Things Fall Apart	Chinua Achebe	1958
Fairy Tales	Hans Christian Andersen	1835–37
Divine Comedy	Dante Alighieri	1308–21
Epic of Gilgamesh	Unknown	18th – 17th century BCE
Book of Job	Unknown	7th – 4th century BCE
One Thousand and One Nights	Various	700–1500
Njál's Saga	Unknown, possibly Sæmundr fróði	13th century
Pride and Prejudice	Jane Austen	1813
Le Père Goriot	Honoré de Balzac	1835
The Trilogy: Molloy, Malone Dies, The Unnamable	Samuel Beckett	1951–53
The Decameron	Giovanni Boccaccio	1349–53
Ficciones	Jorge Luis Borges	1944–56
Wuthering Heights	Emily Brontë	1847
The Stranger	Albert Camus	1942
Poems	Paul Celan	1952
Journey to the End of the Night	Louis-Ferdinand Céline	1932
Don Quixote	Miguel de Cervantes	1605 (part 1), 1615 (part 2)
The Canterbury Tales	Geoffrey Chaucer	1380s–1400
Stories	Anton Chekhov	1886
Nostromo	Joseph Conrad	1904
Great Expectations	Charles Dickens	1861
Jacques the Fatalist	Denis Diderot	1796
Berlin Alexanderplatz	Alfred Döblin	1929
Crime and Punishment	Fyodor Dostoevsky	1866
The Idiot	Fyodor Dostoevsky	1869
Demons	Fyodor Dostoevsky	1872
The Brothers Karamazov	Fyodor Dostoevsky	1880
Middlemarch	George Eliot	1871
Invisible Man	Ralph Ellison	1952
Medea	Euripides	431 BCE
Absalom, Absalom!	William Faulkner	1936
The Sound and the Fury	William Faulkner	1929
Madame Bovary	Gustave Flaubert	1857
Sentimental Education	Gustave Flaubert	1869
Gypsy Ballads	Federico García Lorca	1928
One Hundred Years of Solitude	Gabriel García Márquez	1967
Love in the Time of Cholera	Gabriel García Márquez	1985
Faust	Johann Wolfgang von Goethe	1832
Dead Souls	Nikolai Gogol	1842
The Tin Drum	Günter Grass	1959
The Devil to Pay in the Backlands	João Guimarães Rosa	1956
Hunger	Knut Hamsun	1890
The Old Man and the Sea	Ernest Hemingway	1952
Iliad	Homer	760–710 BCE
Odyssey	Homer	8th century BCE
A Doll's House	Henrik Ibsen	1879
Ulysses	James Joyce	1922
Stories	Franz Kafka	1924
The Trial	Franz Kafka	1925
The Castle	Franz Kafka	1926
Shakuntala	Kālidāsa	1st century BCE – 4th century CE
The Sound of the Mountain	Yasunari Kawabata	1954
Zorba the Greek	Nikos Kazantzakis	1946
Sons and Lovers	D. H. Lawrence	1913
Independent People	Halldór Laxness	1934–35
Complete Poems	Giacomo Leopardi	1818–1835
The Golden Notebook	Doris Lessing	1962
Pippi Longstocking	Astrid Lindgren	1945
Diary of a Madman and Other Stories	Lu Xun	1918
Children of Gebelawi	Naguib Mahfouz	1959
Buddenbrooks	Thomas Mann	1901
The Magic Mountain	Thomas Mann	1924
Moby-Dick	Herman Melville	1851
Essays	Michel de Montaigne	1595
History	Elsa Morante	1974
Beloved	Toni Morrison	1987
The Tale of Genji	Murasaki Shikibu	1000–12
The Man Without Qualities	Robert Musil	1930–32
Lolita	Vladimir Nabokov	1955
Nineteen Eighty-Four	George Orwell	1949
Metamorphoses	Ovid	1st century CE
The Book of Disquiet	Fernando Pessoa	1928
Tales	Edgar Allan Poe	1832–49
In Search of Lost Time	Marcel Proust	1913–27
Gargantua and Pantagruel	François Rabelais	1532–34
Pedro Páramo	Juan Rulfo	1955
Masnavi	Rumi	1258–73
Midnight's Children	Salman Rushdie	1981
Bostan	Saadi	1257
Season of Migration to the North	Tayeb Salih	1966
Blindness	José Saramago	1995
Hamlet	William Shakespeare	1603
King Lear	William Shakespeare	1608
Othello	William Shakespeare	1609
Oedipus the King	Sophocles	430 BCE
The Red and the Black	Stendhal	1830
Tristram Shandy	Laurence Sterne	1760
Confessions of Zeno	Italo Svevo	1923
Gulliver's Travels	Jonathan Swift	1726
War and Peace	Leo Tolstoy	1865–69
Anna Karenina	Leo Tolstoy	1877
The Death of Ivan Ilyich and Other Stories	Leo Tolstoy	1886
Adventures of Huckleberry Finn	Mark Twain	1884
Ramayana	Valmiki	5th – 4th century BCE
Aeneid	Virgil	29–19 BCE
Mahabharata	Vyasa	9th – 5th century BCE
Leaves of Grass	Walt Whitman	1855
Mrs Dalloway	Virginia Woolf	1925
To the Lighthouse	Virginia Woolf	1927
Memoirs of Hadrian	Marguerite Yourcenar	1951
