# source: https://www.goodreads.com/list/show/137197.100_Books_to_Read_Before_You_Die_The_Ultimate_List
# fetched: 2026-08-18
# note: Goodreads Listopia list 137197 '100 Books to Read Before You Die: The Ultimate List' (user-voted; list holds 234 books total, page 1 = ranks 1-100 captured, in page order incl. tied ranks 17/17 and 64/64); Goodreads gives no years; '(Goodreads Author)' badges dropped from author field; series info kept in titles as printed. Ranking looks vote-manipulated (obscure self-published titles at top)
The Pythagorean	Alexander Morpheigh	
The Doomsday Butcher (Cole Chambers FBI Profiler Thrillers #1)	S.E. Stitcher	
Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)	Toshikazu Kawaguchi	
Stranger to the Beautiful: A Journey of Faith, Hope, and Transformation	Don Hynes	
1984	George Orwell	
All This & More	Peng Shepherd	
Piranesi	Susanna Clarke	
The Midnight Library (The Midnight World, #1)	Matt Haig	
Life After Life (Todd Family, #1)	Kate Atkinson	
The Ten Thousand Doors of January	Alix E. Harrow	
The Ministry of Time	Kaliane Bradley	
The Jigsaw Man (Inspector Anjelica Henley, #1)	Nadine Matheson	
The Space Between Worlds (The Space Between Worlds, #1)	Micaiah Johnson	
The Silence of the Lambs (Hannibal Lecter, #2)	Thomas Harris	
Dark Matter	Blake Crouch	
Sea of Tranquility	Emily St. John Mandel	
The Book of Doors	Gareth Brown	
UNSUB (UNSUB, #1)	Meg Gardiner	
Recursion	Blake Crouch	
The Mermaids Singing (Tony Hill & Carol Jordan, #1)	Val McDermid	
The Chestnut Man	Søren Sveistrup	
The Fourth Monkey (4MK Thriller, #1)	J.D. Barker	
The Puppet Show (Washington Poe, #1)	M.W. Craven	
Every Dead Thing (Charlie Parker, #1)	John Connolly	
The Other Valley	Scott Alexander Howard	
The Essential Rumi	Jalal ad-Din Muhammad ar-Rumi	
All the Sinners Bleed	S.A. Cosby	
Leaves of Grass	Walt Whitman	
Time Is a Mother	Ocean Vuong	
The Bones at Point No Point (A Thomas Austin Crime Thriller #1)	D.D. Black	
Postcolonial Love Poem	Natalie Díaz	
A Thousand Mornings: Poems	Mary Oliver	
The Wild Iris	Louise Glück	
Dearly	Margaret Atwood	
The Lord of the Rings (The Lord of the Rings, #1-3)	J.R.R. Tolkien	
The Crucifix Killer (Robert Hunter, #1)	Chris Carter	
The Carrying	Ada Limon	
Bright Dead Things	Ada Limon	
The Prophet	Kahlil Gibran	
The Butterfly Garden (The Collector, #1)	Dot Hutchison	
Life on Mars: Poems	Tracy K. Smith	
Birdman (Jack Caffery, #1)	Mo Hayder	
Devotions: The Selected Poems of Mary Oliver	Mary Oliver	
Poems & Prayers	Matthew McConaughey	
Animal Farm	George Orwell	
Pride and Prejudice	Jane Austen	
Counsel, the Courtroom Is Open: Lessons from More Than a Half-Century in Law and Life	Mark C. Zauderer	
To Kill a Mockingbird	Harper Lee	
The Polymorph	Max Nowaz	
A Civil Action	Jonathan Harr	
Where Law Ends: Inside the Mueller Investigation	Andrew Weissmann	
My Life in Court	Louis Nizer	
The Great Gatsby	F. Scott Fitzgerald	
Just Mercy	Bryan Stevenson	
Service Model	Adrian Tchaikovsky	
These Burning Stars (The Kindom Trilogy, #1)	Bethany Jacobs	
Doing Justice: A Prosecutor's Thoughts on Crime, Punishment, and the Rule of Law	Preet Bharara	
The Innocent Man: Murder and Injustice in a Small Town	John Grisham	
Exordia	Seth Dickinson	
Frankenstein: The 1818 Text	Mary Wollstonecraft Shelley	
The Stardust Grail	Yume Kitasei	
The Scourge Between Stars	Ness Brown	
War Bodies (Polity Universe, #1.5)	Neal Asher	
When Truth Is All You Have: A Memoir of Faith, Justice, and Freedom for the Wrongly Convicted	Jim McCloskey	
The Secret Barrister: Stories of the Law and How It's Broken	The Secret Barrister	
Machine Vendetta (Prefect Dreyfus Emergency, #3)	Alastair Reynolds	
A Knock at Midnight: A Story of Hope, Justice, and Freedom	Brittany K. Barnett	
Translation State	Ann Leckie	
Ghost Station	S.A. Barnes	
Taking the Stand: My Life in the Law	Alan M. Dershowitz	
Cascade Failure (Ambit's Run, #1)	L.M. Sagas	
One L: The Turbulent True Story of a First Year at Harvard Law School	Scott Turow	
Courtroom 302: A Year Behind the Scenes in an American Criminal Courthouse	Steve Bogira	
The Picture of Dorian Gray	Oscar Wilde	
Some Desperate Glory	Emily Tesh	
Brave New World	Aldous Huxley	
Shroud	Adrian Tchaikovsky	
The Deep Sky	Yume Kitasei	
Fahrenheit 451	Ray Bradbury	
The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	
The Folded Sky (White Space, #3)	Elizabeth Bear	
Jane Eyre	Charlotte Brontë	
The Catcher in the Rye	J.D. Salinger	
Without a Doubt	Marcia Clark	
The Count of Monte Cristo	Alexandre Dumas	
The Blighted Stars (The Devoured Worlds, #1)	Megan E. O'Keefe	
Lord of the Flies	William Golding	
Wuthering Heights	Emily Brontë	
Shards of Earth (The Final Architecture, #1)	Adrian Tchaikovsky	
The Mercy of Gods (The Captive's War, #1)	James S.A. Corey	
Great Expectations	Charles Dickens	
Little Women (Little Women, #1)	Louisa May Alcott	
The Handmaid’s Tale (The Handmaid's Tale, #1)	Margaret Atwood	
One Hundred Years of Solitude	Gabriel García Márquez	
Crime and Punishment	Fyodor Dostoevsky	
Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	
Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)	Lewis Carroll	
Lonesome Dove (Lonesome Dove, #1)	Larry McMurtry	
Catch-22	Joseph Heller	
The Stranger	Albert Camus	
