# source: https://en.wikipedia.org/wiki/Great_Books_of_the_Western_World
# fetched: 2026-08-18
# note: Great Books of the Western World (Encyclopaedia Britannica), one line per work as listed on the page: all works of the 1952 first edition (vols 4-54, page order) followed by the works added in the 1990 second edition (vols 3-60) that were not already in the first; 386 entries; where the page nests parts under a container line (e.g. Plato's Dialogues, Hippocrates' Works, Milton's English Minor Poems, the Oresteia) the individual nested items are listed instead of the container; translator/editor parentheticals stripped from titles; second-edition retitlings of first-edition works (e.g. The Way Things Are, The Bacchae, The Assemblywomen) omitted as duplicates; 'American State Papers' kept as the author for the three US founding documents because that is the page's heading; page gives no years
The Iliad	Homer	
The Odyssey	Homer	
The Suppliant Maidens	Aeschylus	
The Persians	Aeschylus	
Seven Against Thebes	Aeschylus	
Prometheus Bound	Aeschylus	
Agamemnon	Aeschylus	
Choephoroe	Aeschylus	
The Eumenides	Aeschylus	
Oedipus the King	Sophocles	
Oedipus at Colonus	Sophocles	
Antigone	Sophocles	
Ajax	Sophocles	
Electra	Sophocles	
The Trachiniae	Sophocles	
Philoctetes	Sophocles	
Rhesus	Euripides	
Medea	Euripides	
Hippolytus	Euripides	
Alcestis	Euripides	
Heracleidae	Euripides	
The Suppliants	Euripides	
The Trojan Women	Euripides	
Ion	Euripides	
Helen	Euripides	
Andromache	Euripides	
Electra	Euripides	
Bacchantes	Euripides	
Hecuba	Euripides	
Heracles Mad	Euripides	
The Phoenician Women	Euripides	
Orestes	Euripides	
Iphigenia in Tauris	Euripides	
Iphigenia in Aulis	Euripides	
Cyclops	Euripides	
The Acharnians	Aristophanes	
The Knights	Aristophanes	
The Clouds	Aristophanes	
The Wasps	Aristophanes	
Peace	Aristophanes	
The Birds	Aristophanes	
The Frogs	Aristophanes	
Lysistrata	Aristophanes	
Thesmophoriazusae	Aristophanes	
Ecclesiazousae	Aristophanes	
Plutus	Aristophanes	
The History	Herodotus	
History of the Peloponnesian War	Thucydides	
Charmides	Plato	
Lysis	Plato	
Laches	Plato	
Protagoras	Plato	
Euthydemus	Plato	
Cratylus	Plato	
Phaedrus	Plato	
Ion	Plato	
Symposium	Plato	
Meno	Plato	
Euthyphro	Plato	
Apology	Plato	
Crito	Plato	
Phaedo	Plato	
Gorgias	Plato	
The Republic	Plato	
Timaeus	Plato	
Critias	Plato	
Parmenides	Plato	
Theaetetus	Plato	
Sophist	Plato	
Statesman	Plato	
Philebus	Plato	
Laws	Plato	
The Seventh Letter	Plato	
Categories	Aristotle	
On Interpretation	Aristotle	
Prior Analytics	Aristotle	
Posterior Analytics	Aristotle	
Topics	Aristotle	
Sophistical Refutations	Aristotle	
Physics	Aristotle	
On the Heavens	Aristotle	
On Generation and Corruption	Aristotle	
Meteorology	Aristotle	
Metaphysics	Aristotle	
On the Soul	Aristotle	
On Sense and the Sensible	Aristotle	
On Memory and Reminisence	Aristotle	
On Sleep and Sleeplessness	Aristotle	
On Dreams	Aristotle	
On Prophesying by Dreams	Aristotle	
On Longevity and Shortness of Life	Aristotle	
On Youth and Old Age, On Life and Death, On Breathing	Aristotle	
History of Animals	Aristotle	
Parts of Animals	Aristotle	
On the Motion of Animals	Aristotle	
On the Gait of Animals	Aristotle	
On the Generation of Animals	Aristotle	
Nicomachean Ethics	Aristotle	
Politics	Aristotle	
The Athenian Constitution	Aristotle	
Rhetoric	Aristotle	
Poetics	Aristotle	
The Hippocratic Oath	Hippocrates	
On Ancient Medicine	Hippocrates	
On Airs, Water, and Places	Hippocrates	
The Book of Prognostics	Hippocrates	
On Regimen in Acute Diseases	Hippocrates	
Of the Epidemics	Hippocrates	
On Injuries of the Head	Hippocrates	
On the Surgery	Hippocrates	
On Fractures	Hippocrates	
On the Articulations	Hippocrates	
Instruments of Reduction	Hippocrates	
Aphorisms	Hippocrates	
The Law	Hippocrates	
The Ulcer	Hippocrates	
On Fistulae	Hippocrates	
On Hemorrhoids	Hippocrates	
On the Sacred Disease	Hippocrates	
On the Natural Faculties	Galen	
The Thirteen Books of Euclid's Elements	Euclid	
On the Sphere and Cylinder	Archimedes	
Measurement of a Circle	Archimedes	
On Conoids and Spheroids	Archimedes	
On Spirals	Archimedes	
On the Equilibrium of Planes	Archimedes	
The Sand Reckoner	Archimedes	
The Quadrature of the Parabola	Archimedes	
On Floating Bodies	Archimedes	
Book of Lemmas	Archimedes	
The Method Treating of Mechanical Problems	Archimedes	
On Conic Sections	Apollonius of Perga	
Introduction to Arithmetic	Nicomachus of Gerasa	
On the Nature of Things	Lucretius	
The Discourses	Epictetus	
The Meditations	Marcus Aurelius	
Eclogues	Virgil	
Georgics	Virgil	
Aeneid	Virgil	
The Lives of the Noble Grecians and Romans	Plutarch	
The Annals	P. Cornelius Tacitus	
The Histories	P. Cornelius Tacitus	
Almagest	Ptolemy	
On the Revolutions of Heavenly Spheres	Nicolaus Copernicus	
Epitome of Copernican Astronomy (Books IV–V)	Johannes Kepler	
The Harmonies of the World (Book V)	Johannes Kepler	
The Six Enneads	Plotinus	
The Confessions	Augustine of Hippo	
The City of God	Augustine of Hippo	
On Christian Doctrine	Augustine of Hippo	
Summa Theologica	Thomas Aquinas	
Divine Comedy (Translated by Charles Eliot Norton)	Dante Alighieri	
Troilus and Criseyde	Geoffrey Chaucer	
The Canterbury Tales	Geoffrey Chaucer	
The Prince	Niccolò Machiavelli	
Leviathan	Thomas Hobbes	
Gargantua and Pantagruel (Books I-IV)	François Rabelais	
Essays	Michel Eyquem de Montaigne	
The First Part of King Henry the Sixth	William Shakespeare	
The Second Part of King Henry the Sixth	William Shakespeare	
The Third Part of King Henry the Sixth	William Shakespeare	
The Tragedy of Richard the Third	William Shakespeare	
The Comedy of Errors	William Shakespeare	
Titus Andronicus	William Shakespeare	
The Taming of the Shrew	William Shakespeare	
The Two Gentlemen of Verona	William Shakespeare	
Love's Labour's Lost	William Shakespeare	
Romeo and Juliet	William Shakespeare	
The Tragedy of King Richard the Second	William Shakespeare	
A Midsummer Night's Dream	William Shakespeare	
The Life and Death of King John	William Shakespeare	
The Merchant of Venice	William Shakespeare	
The First Part of King Henry the Fourth	William Shakespeare	
The Second Part of King Henry the Fourth	William Shakespeare	
Much Ado About Nothing	William Shakespeare	
The Life of King Henry the Fifth	William Shakespeare	
Julius Caesar	William Shakespeare	
As You Like It	William Shakespeare	
Twelfth Night; or, What You Will	William Shakespeare	
The Tragedy of Hamlet, Prince of Denmark	William Shakespeare	
The Merry Wives of Windsor	William Shakespeare	
Troilus and Cressida	William Shakespeare	
All's Well That Ends Well	William Shakespeare	
Measure for Measure	William Shakespeare	
Othello, the Moor of Venice	William Shakespeare	
King Lear	William Shakespeare	
Macbeth	William Shakespeare	
Antony and Cleopatra	William Shakespeare	
Coriolanus	William Shakespeare	
Timon of Athens	William Shakespeare	
Pericles, Prince of Tyre	William Shakespeare	
Cymbeline	William Shakespeare	
The Winter's Tale	William Shakespeare	
The Tempest	William Shakespeare	
The Famous History of the Life of King Henry the Eighth	William Shakespeare	
Sonnets	William Shakespeare	
On the Loadstone and Magnetic Bodies	William Gilbert	
Dialogues Concerning the Two New Sciences	Galileo Galilei	
On the Motion of the Heart and Blood in Animals	William Harvey	
On the Circulation of Blood	William Harvey	
On the Generation of Animals	William Harvey	
The History of Don Quixote de la Mancha	Miguel de Cervantes	
The Advancement of Learning	Sir Francis Bacon	
Novum Organum	Sir Francis Bacon	
New Atlantis	Sir Francis Bacon	
Rules for the Direction of the Mind	René Descartes	
Discourse on the Method	René Descartes	
Meditations on First Philosophy	René Descartes	
Objections Against the Meditations and Replies	René Descartes	
The Geometry	René Descartes	
Ethics	Benedict de Spinoza	
On the Morning of Christ's Nativity	John Milton	
A Paraphrase on Psalm 114	John Milton	
Psalm 136	John Milton	
The Passion	John Milton	
On Time	John Milton	
Upon the Circumcision	John Milton	
At a Solemn Musick	John Milton	
An Epitaph on the Marchioness of Winchester	John Milton	
Song on May Morning	John Milton	
On Shakespeare	John Milton	
On the University Carrier	John Milton	
Another on the same	John Milton	
L'Allegro	John Milton	
Il Penseroso	John Milton	
Arcades	John Milton	
Lycidas	John Milton	
Comus	John Milton	
On the Death of a Fair Infant	John Milton	
At a Vacation Exercise	John Milton	
The Fifth Ode of Horace	John Milton	
Sonnets (I, and VII—XIX)	John Milton	
On the New Forcers of Conscience	John Milton	
On the Lord General Fairfax at the Siege of Colchester	John Milton	
To the Lord General Cromwell	John Milton	
To Sir Henry Vane the Younger	John Milton	
To Mister Cyriack the Skinner upon his Blindness	John Milton	
Psalms (I—VIII & LXXX—LXXXVIII)	John Milton	
Paradise Lost	John Milton	
Samson Agonistes	John Milton	
Areopagitica	John Milton	
The Provincial Letters	Blaise Pascal	
Pensées	Blaise Pascal	
Preface to the Treatise on the Vacuum	Blaise Pascal	
New Experiments Concerning the Vacuum	Blaise Pascal	
Account of the Great Experiment Concerning the Equilibrium of Fluids	Blaise Pascal	
Treatises on the Equilibrium of Liquids and on the Weight of the Mass of the Air	Blaise Pascal	
On Geometrical Demonstration	Blaise Pascal	
Treatise on the Arithmetical Triangle	Blaise Pascal	
Correspondence with Fermat on the Theory of Probabilities	Blaise Pascal	
Mathematical Principles of Natural Philosophy	Sir Isaac Newton	
Optics	Sir Isaac Newton	
Treatise on Light	Christiaan Huygens	
A Letter Concerning Toleration	John Locke	
Concerning Civil Government, Second Essay	John Locke	
An Essay Concerning Human Understanding	John Locke	
The Principles of Human Knowledge	George Berkeley	
An Enquiry Concerning Human Understanding	David Hume	
Gulliver's Travels	Jonathan Swift	
The Life and Opinions of Tristram Shandy, Gentleman	Laurence Sterne	
The History of Tom Jones, a Foundling	Henry Fielding	
The Spirit of the Laws	Charles de Secondat, Baron de Montesquieu	
A Discourse on the Origin of Inequality	Jean Jacques Rousseau	
A Discourse on Political Economy	Jean Jacques Rousseau	
The Social Contract	Jean Jacques Rousseau	
An Inquiry into the Nature and Causes of the Wealth of Nations	Adam Smith	
The Decline and Fall of the Roman Empire	Edward Gibbon	
Critique of Pure Reason	Immanuel Kant	
Fundamental Principles of the Metaphysic of Morals	Immanuel Kant	
Critique of Practical Reason	Immanuel Kant	
Preface and Introduction to the Metaphysical Elements of Ethics with a note on Conscience	Immanuel Kant	
General Introduction to the Metaphysic of Morals	Immanuel Kant	
The Science of Right	Immanuel Kant	
The Critique of Judgement	Immanuel Kant	
Declaration of Independence	American State Papers	
Articles of Confederation	American State Papers	
The Constitution of the United States of America	American State Papers	
The Federalist	Alexander Hamilton, James Madison, John Jay	
On Liberty	John Stuart Mill	
Considerations on Representative Government	John Stuart Mill	
Utilitarianism	John Stuart Mill	
The Life of Samuel Johnson, LL.D.	James Boswell	
Elements of Chemistry	Antoine Laurent Lavoisier	
Analytical Theory of Heat	Jean Baptiste Joseph Fourier	
Experimental Researches in Electricity	Michael Faraday	
The Philosophy of Right	Georg Wilhelm Friedrich Hegel	
The Philosophy of History	Georg Wilhelm Friedrich Hegel	
Faust	Johann Wolfgang von Goethe	
Moby Dick; or, The Whale	Herman Melville	
The Origin of Species by Means of Natural Selection	Charles Darwin	
The Descent of Man, and Selection in Relation to Sex	Charles Darwin	
Capital	Karl Marx	
Manifesto of the Communist Party	Karl Marx and Friedrich Engels	
War and Peace	Count Leo Tolstoy	
The Brothers Karamazov	Fyodor Mikhailovich Dostoevsky	
The Principles of Psychology	William James	
The Origin and Development of Psycho-Analysis	Sigmund Freud	
