# source: https://thegreatestbooks.org (pages https://thegreatestbooks.org/ and https://thegreatestbooks.org/page/2 ... /page/8, 25 books per page)
# fetched: 2026-08-18
# note: thegreatestbooks.org 'The Greatest Books of All Time' aggregate ranking (site says it aggregates 759 'best of' lists; live site as of 2026-08-18, fetched via browser because curl/WebFetch get a Cloudflare 403); ranks 1-200 captured in rank order; page shows no publication years; the site's separate subtitle line (e.g. 'or, The Whale' under Moby-Dick) is not included in Title
Ulysses	James Joyce	
In Search of Lost Time	Marcel Proust	
The Great Gatsby	F. Scott Fitzgerald	
One Hundred Years of Solitude	Gabriel García Márquez	
The Catcher in the Rye	J. D. Salinger	
Moby-Dick	Herman Melville	
Nineteen Eighty Four	George Orwell	
Don Quixote	Miguel de Cervantes	
The Sound and the Fury	William Faulkner	
Anna Karenina	Leo Tolstoy	
Lolita	Vladimir Nabokov	
War and Peace	Leo Tolstoy	
Crime and Punishment	Fyodor Dostoevsky	
Wuthering Heights	Emily Brontë	
Pride and Prejudice	Jane Austen	
To Kill a Mockingbird	Harper Lee	
The Lord Of The Rings	J. R. R. Tolkien	
The Brothers Karamazov	Fyodor Dostoevsky	
Madame Bovary	Gustave Flaubert	
The Trial	Franz Kafka	
The Bible	Unknown	
Adventures of Huckleberry Finn	Mark Twain	
The Stranger	Albert Camus	
Middlemarch	George Eliot	
To the Lighthouse	Virginia Woolf	
The Odyssey	Homer	
The Grapes of Wrath	John Steinbeck	
The Divine Comedy	Dante Alighieri	
The Magic Mountain	Thomas Mann	
Jane Eyre	Charlotte Brontë	
Heart of Darkness	Joseph Conrad	
Mrs. Dalloway	Virginia Woolf	
Invisible Man	Ralph Ellison	
The Master and Margarita	Mikhail Bulgakov	
Catch-22	Joseph Heller	
Alice's Adventures in Wonderland	Lewis Carroll	
The Iliad	Homer	
Great Expectations	Charles Dickens	
Frankenstein	Mary Shelley	
Les Misérables	Victor Hugo	
On the Road	Jack Kerouac	
Absalom, Absalom!	William Faulkner	
The Red and the Black	Stendhal	
The Little Prince	Antoine de Saint-Exupéry	
Beloved	Toni Morrison	
David Copperfield	Charles Dickens	
Fictions	Jorge Luis Borges	
One Thousand and One Nights	Unknown	
Journey to the End of The Night	Louis-Ferdinand Céline	
Brave New World	Aldous Huxley	
Lord of the Flies	William Golding	
The Old Man and the Sea	Ernest Hemingway	
Animal Farm	George Orwell	
The Life And Opinions Of Tristram Shandy	Laurence Sterne	
Rebecca	Daphne du Maurier	
Dracula	Bram Stoker	
The Sun Also Rises	Ernest Hemingway	
Midnight's Children	Salman Rushdie	
The Idiot	Fyodor Dostoevsky	
Things Fall Apart	Chinua Achebe	
The Leopard	Giuseppe Tomasi di Lampedusa	
Under the Volcano	Malcolm Lowry	
The Golden Notebook	Doris May Lessing	
Their Eyes Were Watching God	Zora Neale Hurston	
Gulliver's Travels	Jonathan Swift	
The Portrait of a Lady	Henry James	
Gone With the Wind	Margaret Mitchell	
The Scarlet Letter	Nathaniel Hawthorne	
Robinson Crusoe	Daniel Defoe	
Pale Fire	Vladimir Nabokov	
A Farewell to Arms	Ernest Hemingway	
The Plague	Albert Camus	
The Aeneid	Virgil	
Candide	Voltaire	
Hamlet	William Shakespeare	
Emma	Jane Austen	
Slaughterhouse-Five	Kurt Vonnegut	
The Metamorphosis	Franz Kafka	
A Passage to India	E. M. Forster	
Essays	Michel de Montaigne	
A Portrait of the Artist as a Young Man	James Joyce	
The Castle	Franz Kafka	
The Man Without Qualities	Robert Musil	
The Tin Drum	Günter Grass	
Leaves of Grass	Walt Whitman	
As I Lay Dying	William Faulkner	
All Quiet on the Western Front	Erich Maria Remarque	
Buddenbrooks	Thomas Mann	
The Good Soldier	Ford Madox Ford	
Little Women	Louisa May Alcott	
The Picture of Dorian Gray	Oscar Wilde	
