# source: https://www.theguardian.com/books/2017/dec/31/the-100-best-nonfiction-books-of-all-time-the-full-list
# fetched: 2026-08-18
# note: The Guardian's 100 best nonfiction books of all time, chosen by Robert McCrum, 2017, numbered reverse-chronologically 1-100; 100 entries in page order with the page's years; entries 82 (The Diary of Fanny Burney) and 100 (King James Bible) carry no author on the page so the author field is empty
The Sixth Extinction	Elizabeth Kolbert	2014
The Year of Magical Thinking	Joan Didion	2005
No Logo	Naomi Klein	1999
Birthday Letters	Ted Hughes	1998
Dreams from My Father	Barack Obama	1995
A Brief History of Time	Stephen Hawking	1988
The Right Stuff	Tom Wolfe	1979
Orientalism	Edward Said	1978
Dispatches	Michael Herr	1977
The Selfish Gene	Richard Dawkins	1976
North	Seamus Heaney	1975
Awakenings	Oliver Sacks	1973
The Female Eunuch	Germaine Greer	1970
Awopbopaloobop Alopbamboom	Nik Cohn	1969
The Double Helix	James D Watson	1968
Against Interpretation	Susan Sontag	1966
Ariel	Sylvia Plath	1965
The Feminine Mystique	Betty Friedan	1963
The Making of the English Working Class	EP Thompson	1963
Silent Spring	Rachel Carson	1962
The Structure of Scientific Revolutions	Thomas S Kuhn	1962
A Grief Observed	CS Lewis	1961
The Elements of Style	William Strunk and EB White	1959
The Affluent Society	John Kenneth Galbraith	1958
The Uses of Literacy: Aspects of Working-Class Life	Richard Hoggart	1957
Notes of a Native Son	James Baldwin	1955
The Nude: A Study of Ideal Art	Kenneth Clark	1956
The Hedgehog and the Fox	Isaiah Berlin	1953
Waiting for Godot	Samuel Beckett	1952/53
A Book of Mediterranean Food	Elizabeth David	1950
The Great Tradition	FR Leavis	1948
The Last Days of Hitler	Hugh Trevor-Roper	1947
The Common Sense Book of Baby and Child Care	Dr Benjamin Spock	1946
Hiroshima	John Hersey	1946
The Open Society and Its Enemies	Karl Popper	1945
Black Boy: A Record of Childhood and Youth	Richard Wright	1945
How to Cook a Wolf	MFK Fisher	1942
Enemies of Promise	Cyril Connolly	1938
The Road to Wigan Pier	George Orwell	1937
The Road to Oxiana	Robert Byron	1937
How to Win Friends and Influence People	Dale Carnegie	1936
Testament of Youth	Vera Brittain	1933
My Early Life: A Roving Commission	Winston Churchill	1930
Goodbye to All That	Robert Graves	1929
A Room of One’s Own	Virginia Woolf	1929
The Waste Land	TS Eliot	1922
Ten Days That Shook the World	John Reed	1919
The Economic Consequences of the Peace	John Maynard Keynes	1919
The American Language	HL Mencken	1919
Eminent Victorians	Lytton Strachey	1918
The Souls of Black Folk	WEB Du Bois	1903
De Profundis	Oscar Wilde	1905
The Varieties of Religious Experience	William James	1902
Brief Lives	John Aubrey, edited by Andrew Clark	1898
Personal Memoirs	Ulysses S Grant	1885
Life on the Mississippi	Mark Twain	1883
Travels With a Donkey in the Cévennes	Robert Louis Stevenson	1879
Nonsense Songs	Edward Lear	1871
Culture and Anarchy	Matthew Arnold	1869
On the Origin of Species	Charles Darwin	1859
On Liberty	John Stuart Mill	1859
The Wonderful Adventures of Mrs Seacole in Many Lands	Mary Seacole	1857
The Life of Charlotte Brontë	Elizabeth Gaskell	1857
Walden	Henry David Thoreau	1854
Thesaurus	Dr Peter Mark Roget	1852
London Labour and the London Poor	Henry Mayhew	1851
Household Education	Harriet Martineau	1848
Narrative of the Life of Frederick Douglass, an American Slave	Frederick Douglass	1845
Essays	RW Emerson	1841
Domestic Manners of the Americans	Frances Trollope	1832
An American Dictionary of the English Language	Noah Webster	1828
Confessions of an English Opium-Eater	Thomas De Quincey	1822
Tales from Shakespeare	Charles and Mary Lamb	1807
Travels in the Interior Districts of Africa	Mungo Park	1799
The Autobiography of Benjamin Franklin	Benjamin Franklin	1793
A Vindication of the Rights of Woman	Mary Wollstonecraft	1792
The Life of Samuel Johnson LLD	James Boswell	1791
Reflections on the Revolution in France	Edmund Burke	1790
The Interesting Narrative of the Life of Olaudah Equiano	Olaudah Equiano	1789
The Natural History and Antiquities of Selborne	Gilbert White	1789
The Federalist Papers	‘Publius’	1788
The Diary of Fanny Burney		1778
The History of the Decline and Fall of the Roman Empire	Edward Gibbon	1776-1788
The Wealth of Nations	Adam Smith	1776
Common Sense	Tom Paine	1776
A Dictionary of the English Language	Samuel Johnson	1755
A Treatise of Human Nature	David Hume	1739
A Modest Proposal	Jonathan Swift	1729
A Tour Through the Whole Island of Great Britain	Daniel Defoe	1727
An Essay Concerning Human Understanding	John Locke	1689
The Book of Common Prayer	Thomas Cranmer	1662
The Diary of Samuel Pepys	Samuel Pepys	1660
Hydriotaphia, Urn Burial, or A Brief Discourse of the Sepulchral Urns Lately Found in Norfolk	Sir Thomas Browne	1658
Leviathan	Thomas Hobbes	1651
Areopagitica	John Milton	1644
Devotions Upon Emergent Occasions	John Donne	1624
The First Folio	William Shakespeare	1623
The Anatomy of Melancholy	Robert Burton	1621
The History of the World	Walter Raleigh	1614
King James Bible: The Authorised Version		1611
