# source: https://www.theguardian.com/books/ng-interactive/2026/may/12/the-100-best-novels-of-all-time (data: https://interactive.guim.co.uk/atoms/2026/03/2026-best-100-books/best-100-books/v/1779965433/app.js)
# fetched: 2026-08-18
# note: The Guardian, 'The 100 best novels of all time' (interactive, 12 May 2026; ranked by votes from a panel of writers/critics/academics); 100 entries in rank order 1-100; title/author/year taken from the interactive's embedded app.js dataset (years as printed there, e.g. '1913-27'), titles cross-checked against the server-rendered list in the page
Middlemarch	George Eliot	1871
Beloved	Toni Morrison	1987
Ulysses	James Joyce	1922
To the Lighthouse	Virginia Woolf	1927
In Search of Lost Time	Marcel Proust	1913-27
Anna Karenina	Leo Tolstoy	1878
War and Peace	Leo Tolstoy	1869
Jane Eyre	Charlotte Brontë	1847
Pride and Prejudice	Jane Austen	1813
Madame Bovary	Gustave Flaubert	1856
The Great Gatsby	F Scott Fitzgerald	1925
Bleak House	Charles Dickens	1852-3
Emma	Jane Austen	1815
Mrs Dalloway	Virginia Woolf	1925
Moby-Dick	Herman Melville	1851
Nineteen Eighty-Four	George Orwell	1949
One Hundred Years of Solitude	Gabriel García Márquez	1967
Persuasion	Jane Austen	1817
The Life and Opinions of Tristram Shandy, Gentleman	Laurence Sterne	1759
Wuthering Heights	Emily Brontë	1847
The Portrait of a Lady	Henry James	1881
Things Fall Apart	Chinua Achebe	1958
Midnight's Children	Salman Rushdie	1981
The Remains of the Day	Kazuo Ishiguro	1989
Lolita	Vladimir Nabokov	1955
Don Quixote	Miguel de Cervantes	1605/15
The Trial	Franz Kafka	1925
The Brothers Karamazov	Fyodor Dostoyevsky	1879-80
Pale Fire	Vladimir Nabokov	1962
Frankenstein	Mary Shelley	1818
The Prime of Miss Jean Brodie	Muriel Spark	1961
The God of Small Things	Arundhati Roy	1997
David Copperfield	Charles Dickens	1849-50
Wolf Hall	Hilary Mantel	2009
Great Expectations	Charles Dickens	1861
The Handmaid's Tale	Margaret Atwood	1985
Invisible Man	Ralph Ellison	1952
The Age of Innocence	Edith Wharton	1920
Their Eyes Were Watching God	Zora Neale Hurston	1937
Song of Solomon	Toni Morrison	1977
Heart of Darkness	Joseph Conrad	1899
The Magic Mountain	Thomas Mann	1924
Housekeeping	Marilynne Robinson	1980
Giovanni's Room	James Baldwin	1956
The Golden Notebook	Doris Lessing	1962
The Leopard	Giuseppe Tomasi di Lampedusa	1958
Vanity Fair	William Makepeace Thackeray	1848
The Metamorphosis	Franz Kafka	1915
A Fine Balance	Rohinton Mistry	1995
Wide Sargasso Sea	Jean Rhys	1966
My Brilliant Friend	Elena Ferrante	2011
The Golden Bowl	Henry James	1904
The Transit of Venus	Shirley Hazzard	1980
Orlando	Virginia Woolf	1928
The Waves	Virginia Woolf	1931
Mansfield Park	Jane Austen	1814
The Sound and the Fury	William Faulkner	1929
Disgrace	JM Coetzee	1999
Never Let Me Go	Kazuo Ishiguro	2005
Howards End	EM Forster	1910
The Rings of Saturn	WG Sebald	1995
Half of a Yellow Sun	Chimamanda Ngozi Adichie	2006
White Teeth	Zadie Smith	2000
The Good Soldier	Ford Madox Ford	1915
The Color Purple	Alice Walker	1982
The Master and Margarita	Mikhail Bulgakov	1966-67
The Man Without Qualities	Robert Musil	1930-43
Blood Meridian	Cormac McCarthy	1985
Crime and Punishment	Fyodor Dostoevsky	1866
Jude the Obscure	Thomas Hardy	1895
The Outsider	Albert Camus	1942
Kindred	Octavia E Butler	1979
Our Mutual Friend	Charles Dickens	1864-5
Austerlitz	WG Sebald	2001
Nervous Conditions	Tsitsi Dangarembga	1988
The Bluest Eye	Toni Morrison	1970
Dracula	Bram Stoker	1897
My Ántonia	Willa Cather	1918
The Rainbow	DH Lawrence	1915
A House for Mr Biswas	VS Naipaul	1961
Go Tell It on the Mountain	James Baldwin	1953
Rebecca	Daphne du Maurier	1938
Buddenbrooks	Thomas Mann	1901
The End of the Affair	Graham Greene	1951
A Farewell to Arms	Ernest Hemingway	1929
The Talented Mr Ripley	Patricia Highsmith	1955
The Vegetarian	Han Kang	2007
The Turn of the Screw	Henry James	1898
The Line of Beauty	Alan Hollinghurst	2004
Ragtime	EL Doctorow	1975
The Left Hand of Darkness	Ursula K Le Guin	1969
Jacob's Room	Virginia Woolf	1922
Life and Fate	Vasily Grossman	1980
Sentimental Education	Gustave Flaubert	1869
Invisible Cities	Italo Calvino	1972
The Known World	Edward P Jones	2003
The Return of the Native	Thomas Hardy	1878
Pedro Páramo	Juan Rulfo	1955
Catch-22	Joseph Heller	1961
The Road	Cormac McCarthy	2006
