# source: https://en.wikipedia.org/wiki/Le_Monde%27s_100_Books_of_the_Century
# fetched: 2026-08-18
# note: Le Monde's 100 Books of the Century, ranked by French public vote from a Fnac/Le Monde shortlist, 1999; 100 entries captured in rank order; where the page shows an alternate English title on a second line, only the first title is kept
The Stranger	Albert Camus	1942
In Search of Lost Time	Marcel Proust	1913–27
The Trial	Franz Kafka	1925
The Little Prince	Antoine de Saint-Exupéry	1943
Man's Fate	André Malraux	1933
Journey to the End of the Night	Louis-Ferdinand Céline	1932
The Grapes of Wrath	John Steinbeck	1939
For Whom the Bell Tolls	Ernest Hemingway	1940
Le Grand Meaulnes	Alain-Fournier	1913
Froth on the Daydream	Boris Vian	1947
The Second Sex	Simone de Beauvoir	1949
Waiting for Godot	Samuel Beckett	1952
Being and Nothingness	Jean-Paul Sartre	1943
The Name of the Rose	Umberto Eco	1980
The Gulag Archipelago	Aleksandr Solzhenitsyn	1973
Paroles	Jacques Prévert	1946
Alcools	Guillaume Apollinaire	1913
The Blue Lotus	Hergé	1936
The Diary of a Young Girl	Anne Frank	1947
Tristes Tropiques	Claude Lévi-Strauss	1955
Brave New World	Aldous Huxley	1932
Nineteen Eighty-Four	George Orwell	1949
Asterix the Gaul	René Goscinny and Albert Uderzo	1959
The Bald Soprano	Eugène Ionesco	1952
Three Essays on the Theory of Sexuality	Sigmund Freud	1905
The Abyss	Marguerite Yourcenar	1968
Lolita	Vladimir Nabokov	1955
Ulysses	James Joyce	1922
The Tartar Steppe	Dino Buzzati	1940
The Counterfeiters	André Gide	1925
The Horseman on the Roof	Jean Giono	1951
Belle du Seigneur	Albert Cohen	1968
One Hundred Years of Solitude	Gabriel García Márquez	1967
The Sound and the Fury	William Faulkner	1929
Thérèse Desqueyroux	François Mauriac	1927
Zazie in the Metro	Raymond Queneau	1959
Confusion of Feelings	Stefan Zweig	1927
Gone with the Wind	Margaret Mitchell	1936
Lady Chatterley's Lover	D. H. Lawrence	1928
The Magic Mountain	Thomas Mann	1924
Bonjour Tristesse	Françoise Sagan	1954
Le Silence de la mer	Vercors	1942
Life: A User's Manual	Georges Perec	1978
The Hound of the Baskervilles	Arthur Conan Doyle	1901–02
Under the Sun of Satan	Georges Bernanos	1926
The Great Gatsby	F. Scott Fitzgerald	1925
The Joke	Milan Kundera	1967
Contempt/A Ghost at Noon	Alberto Moravia	1954
The Murder of Roger Ackroyd	Agatha Christie	1926
Nadja	André Breton	1928
Aurélien	Louis Aragon	1944
The Satin Slipper	Paul Claudel	1929
Six Characters in Search of an Author	Luigi Pirandello	1921
The Resistible Rise of Arturo Ui	Bertolt Brecht	1941
Friday	Michel Tournier	1967
The War of the Worlds	H. G. Wells	1898
If This Is a Man	Primo Levi	1947
The Lord of the Rings	J.R.R. Tolkien	1954–55
The Tendrils of the Vine	Colette	1908
Capital of Pain	Paul Éluard	1926
Martin Eden	Jack London	1909
The Ballad of the Salty Sea	Hugo Pratt	1967
Writing Degree Zero	Roland Barthes	1953
The Lost Honour of Katharina Blum	Heinrich Böll	1974
The Opposing Shore	Julien Gracq	1951
The Order of Things	Michel Foucault	1966
On the Road	Jack Kerouac	1957
The Wonderful Adventures of Nils	Selma Lagerlöf	1906–07
A Room of One's Own	Virginia Woolf	1929
The Martian Chronicles	Ray Bradbury	1950
The Ravishing of Lol Stein	Marguerite Duras	1964
The Interrogation	J. M. G. Le Clézio	1963
Tropisms	Nathalie Sarraute	1939
Journal, 1887–1910	Jules Renard	1925
Lord Jim	Joseph Conrad	1900
Écrits	Jacques Lacan	1966
The Theatre and Its Double	Antonin Artaud	1938
Manhattan Transfer	John Dos Passos	1925
Ficciones	Jorge Luis Borges	1944
Moravagine	Blaise Cendrars	1926
The General of the Dead Army	Ismail Kadare	1963
Sophie's Choice	William Styron	1979
Gypsy Ballads	Federico García Lorca	1928
The Strange Case of Peter the Lett	Georges Simenon	1931
Our Lady of the Flowers	Jean Genet	1944
The Man Without Qualities	Robert Musil	1930–42
Furor and Mystery	René Char	1948
The Catcher in the Rye	J. D. Salinger	1951
No Orchids For Miss Blandish	James Hadley Chase	1939
Blake and Mortimer	Edgar P. Jacobs	1950
The Notebooks of Malte Laurids Brigge	Rainer Maria Rilke	1910
Second Thoughts	Michel Butor	1957
The Origins of Totalitarianism	Hannah Arendt	1951
The Master and Margarita	Mikhail Bulgakov	1967
The Rosy Crucifixion	Henry Miller	1949–60
The Big Sleep	Raymond Chandler	1939
Amers	Saint-John Perse	1957
Gaston	André Franquin	1957
Under the Volcano	Malcolm Lowry	1947
Midnight's Children	Salman Rushdie	1981
