# source: https://www.pbs.org/the-great-american-read/books/#/ (data: https://bento.cdn.pbs.org/hostedbento-prod/filer_public/gar-phase-2/data/books.json)
# fetched: 2026-08-18
# note: PBS The Great American Read, America's 100 most-loved books, final public-vote ranking (2018), by PBS; 100 entries in rank order (1 = Best Loved), from the page's own books.json data feed
To Kill a Mockingbird	Harper Lee	1960
Outlander (Series)	Diana Gabaldon	1991
Harry Potter (Series)	J.K. Rowling	1997
Pride and Prejudice	Jane Austen	1813
Lord of the Rings, The (Series)	J.R.R. Tolkien	1954
Gone with the Wind	Margaret Mitchell	1936
Charlotte's Web	E. B. White	1952
Little Women	Louisa May Alcott	1868
Chronicles of Narnia, The (Series)	C.S. Lewis	1950
Jane Eyre	Charlotte Brontë	1847
Anne of Green Gables	Lucy Maud Montgomery	1908
Grapes of Wrath, The	John Steinbeck	1939
A Tree Grows in Brooklyn	Betty Smith	1943
Book Thief, The	Markus Zusak	2005
Great Gatsby, The	F. Scott Fitzgerald	1925
Help, The	Kathryn Stockett	2009
Adventures of Tom Sawyer, The	Mark Twain	1876
1984	George Orwell	1949
And Then There Were None	Agatha Christie	1939
Atlas Shrugged	Ayn Rand	1957
Wuthering Heights	Emily Brontë	1847
Lonesome Dove	Larry McMurtry	1985
Pillars of the Earth, The	Ken Follett	1989
Stand, The	Stephen King	1978
Rebecca	Daphne du Maurier	1938
A Prayer for Owen Meany	John Irving	1989
Color Purple, The	Alice Walker	1982
Alice's Adventures in Wonderland	Lewis Carroll	1865
Great Expectations	Charles Dickens	1861
Catcher in the Rye, The	J.D. Salinger	1951
Where the Red Fern Grows	Wilson Rawls	1961
Outsiders, The	S. E. Hinton	1967
Da Vinci Code, The	Dan Brown	2003
Handmaid's Tale, The	Margaret Atwood	1985
Dune	Frank Herbert	1965
Little Prince, The	Antoine de Saint-Exupéry	1943
Call of the Wild, The	Jack London	1903
Clan of the Cave Bear, The	Jean M. Auel	1980
Hitchhiker's Guide to The Galaxy, The	Douglas Adams	1979
Hunger Games, The (Series)	Suzanne Collins	2008
Count of Monte Cristo, The	Alexandre Dumas	1844
Joy Luck Club, The	Amy Tan	1989
Frankenstein	Mary Shelley	1818
Giver, The	Lois Lowry	1993
Memoirs of a Geisha	Arthur Golden	1997
Moby Dick	Herman Melville	1851
Catch-22	Joseph Heller	1961
Game of Thrones (Series)	George R. R. Martin	1996
Foundation (Series)	Isaac Asimov	1951
War and Peace	Leo Tolstoy	1869
Their Eyes Were Watching God	Zora Neale Hurston	1937
Jurassic Park	Michael Crichton	1990
Godfather, The	Mario Puzo	1969
One Hundred Years of Solitude	Gabriel García Márquez	1967
Picture of Dorian Gray, The	Oscar Wilde	1890
Notebook, The	Nicholas Sparks	1996
Shack, The	William P. Young	2007
A Confederacy of Dunces	John Kennedy Toole	1980
Hunt for Red October, The	Tom Clancy	1984
Beloved	Toni Morrison	1987
Martian, The	Andy Weir	2014
Wheel of Time, The (Series)	Robert Jordan / Brandon Sanderson	1990
Siddhartha	Hermann Hesse	1922
Crime and Punishment	Fyodor Dostoyevsky	1866
Sun Also Rises, The	Ernest Hemingway	1926
Curious Incident of the Dog in the Night-Time, The	Mark Haddon	2003
A Separate Peace	John Knowles	1959
Don Quixote	Miguel de Cervantes	1605
Lovely Bones, The	Alice Sebold	2002
Alchemist, The	Paulo Coelho	1988
Hatchet (Series)	Gary Paulsen	1987
Invisible Man	Ralph Ellison	1953
Twilight Saga (Series), The	Stephenie Meyer	2005
Tales of the City (Series)	Armistead Maupin	1978
Gulliver's Travels	Jonathan Swift	1726
Ready Player One	Ernest Cline	2011
Left Behind (Series)	Tim LaHaye / Jerry B. Jenkins	1995
Gone Girl	Gillian Flynn	2012
Watchers	Dean Koontz	1987
Pilgrim's Progress, The	John Bunyan	1678
Alex Cross Mysteries (Series)	James Patterson	1993
Things Fall Apart	Chinua Achebe	1958
Heart of Darkness	Joseph Conrad	1902
Gilead	Marilynne Robinson	2004
Flowers in the Attic	V.C. Andrews	1979
Fifty Shades of Grey (Series)	E.L. James	2011
Sirens of Titan, The	Kurt Vonnegut	1959
This Present Darkness	Frank E. Peretti	1986
Americanah	Chimamanda Ngozi Adichie	2013
Another Country	James Baldwin	1962
Bless Me, Ultima	Rudolfo Anaya	1972
Looking for Alaska	John Green	2005
Brief Wondrous Life of Oscar Wao, The	Junot Díaz	2007
Swan Song	Robert R. McCammon	1987
Mind Invaders	Dave Hunt	1989
White Teeth	Zadie Smith	2000
Ghost	Jason Reynolds	2016
Coldest Winter Ever, The	Sister Souljah	1999
Intuitionist, The	Colson Whitehead	1999
Doña Bárbára	Rómulo Gallegos	1929
