# source: https://www.oclc.org/en/worldcat/library100.html
# fetched: 2026-08-18
# note: OCLC 'The Library 100' - the 100 novels most widely held by libraries worldwide per WorldCat holdings (OCLC; ranked #1-#100); 100 entries captured; page gives no publication years
Don Quixote	Miguel de Cervantes	
Alice's Adventures in Wonderland	Lewis Carroll	
The Adventures of Huckleberry Finn	Mark Twain	
The Adventures of Tom Sawyer	Mark Twain	
Treasure Island	Robert Louis Stevenson	
Pride and Prejudice	Jane Austen	
Wuthering Heights	Emily Brontë	
Jane Eyre	Charlotte Brontë	
Moby Dick	Herman Melville	
The Scarlet Letter	Nathaniel Hawthorne	
Gulliver's Travels	Jonathan Swift	
The Pilgrim's Progress	John Bunyan	
A Christmas Carol	Charles Dickens	
David Copperfield	Charles Dickens	
A Tale of Two Cities	Charles Dickens	
Little Women	Louisa May Alcott	
Great Expectations	Charles Dickens	
The Hobbit, or, There and Back Again	J.R.R. Tolkien	
Frankenstein, or, the Modern Prometheus	Mary Shelley	
Oliver Twist	Charles Dickens	
Uncle Tom's Cabin	Harriet Beecher Stowe	
Crime and Punishment	Fyodor Dostoyevsky	
Madame Bovary: Patterns of Provincial Life	Gustave Flaubert	
The Return of the King	J.R.R. Tolkien	
Dracula	Bram Stoker	
The Three Musketeers	Alexandre Dumas	
Brave New World	Aldous Huxley	
War and Peace	Leo Tolstoy	
To Kill a Mockingbird	Harper Lee	
The Wizard of Oz	L. Frank Baum	
Les Misérables	Victor Hugo	
The Secret Garden	Frances Hodgson Burnett	
Animal Farm	George Orwell	
The Great Gatsby	F. Scott Fitzgerald	
The Little Prince	Antoine de Saint-Exupéry	
The Call of the Wild	Jack London	
20,000 Leagues Under the Sea	Jules Verne	
Anna Karenina	Leo Tolstoy	
The Wind in the Willows	Kenneth Grahame	
The Picture of Dorian Gray	Oscar Wilde	
The Grapes of Wrath	John Steinbeck	
Sense and Sensibility	Jane Austen	
The Last of the Mohicans	James Fenimore Cooper	
Tess of the d'Urbervilles	Thomas Hardy	
Harry Potter and the Sorcerer's Stone	J.K. Rowling	
Heidi	Johanna Spyri	
Ulysses	James Joyce	
The Complete Sherlock Holmes	Arthur Conan Doyle	
The Count of Monte Cristo	Alexandre Dumas	
The Old Man and the Sea	Ernest Hemingway	
The Lion, the Witch, and the Wardrobe	C.S. Lewis	
The Hunchback of Notre Dame	Victor Hugo	
Pinocchio	Carlo Collodi	
One Hundred Years of Solitude	Gabriel Garcia Márquez	
Ivanhoe	Walter Scott	
The Red Badge of Courage	Stephen Crane	
Anne of Green Gables	L.M. Montgomery	
Black Beauty	Anna Sewell	
Peter Pan	J.M. Barrie	
A Farewell to Arms	Ernest Hemingway	
The House of the Seven Gables	Nathaniel Hawthorne	
Lord of the Flies	William Golding	
The Prince and the Pauper	Mark Twain	
A Portrait of the Artist as a Young Man	James Joyce	
Lord Jim	Joseph Conrad	
Harry Potter and the Chamber of Secrets	J.K. Rowling	
The Red & the Black	Stendhal	
The Stranger	Albert Camus	
The Trial	Franz Kafka	
Lady Chatterley's Lover	D.H. Lawrence	
Kidnapped: The Adventures of David Balfour	Robert Louis Stevenson	
The Catcher in the Rye	J.D. Salinger	
Fahrenheit 451	Ray Bradbury	
A Journey to the Center of the Earth	Jules Verne	
Vanity Fair	William Makepeace Thackeray	
All Quiet on the Western Front	Erich Maria Remarque	
Gone with the Wind	Margaret Mitchell	
My Ántonia	Willa Cather	
Of Mice and Men	John Steinbeck	
The Vicar of Wakefield	Oliver Goldsmith	
A Connecticut Yankee in King Arthur's Court	Mark Twain	
White Fang	Jack London	
Fathers and Sons	Ivan Sergeevich Turgenev	
Doctor Zhivago	Boris Leonidovich Pasternak	
The Decameron	Giovanni Boccaccio	
Nineteen Eighty-Four	George Orwell	
The Jungle	Upton Sinclair	
The Da Vinci Code	Dan Brown	
Persuasion	Jane Austen	
Mansfield Park	Jane Austen	
Candide	Voltaire	
For Whom the Bell Tolls	Ernest Hemingway	
Far from the Madding Crowd	Thomas Hardy	
The Fellowship of the Ring	J.R.R. Tolkien	
The Return of the Native	Thomas Hardy	
Sons and Lovers	D.H. Lawrence	
Charlotte's Web	E.B. White	
The Swiss Family Robinson	Johann David Wyss	
Bleak House	Charles Dickens	
Père Goriot	Honoré de Balzac	
