count	title	author	year	lists	key
17	The Great Gatsby	F. Scott Fitzgerald	1925	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,le_monde_100_books,modern_library_prh_novels,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels,worldcat_library100	great gatsby|fitzgerald
17	1984	George Orwell	1949	bbc_big_read_top100,bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,le_monde_100_books,modern_library_prh_novels,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels,worldcat_library100	1984|orwell
14	Wuthering Heights	Emily Brontë	1847	bbc_big_read_top100,bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	wuthering heights|bronte
14	The Catcher in the Rye	J.D. Salinger	1951	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,le_monde_100_books,modern_library_prh_novels,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels,worldcat_library100	catcher in the rye|salinger
13	Catch-22	Joseph Heller	1961	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels	catch 22|heller
13	Brave New World	Aldous Huxley	1932	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,jeffrich_100_books,le_monde_100_books,modern_library_prh_novels,observer_100_greatest_novels_2003,penguin_100_classics,worldcat_library100	brave new world|huxley
13	Ulysses	James Joyce	1922	bbc_big_read_top100,bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,le_monde_100_books,modern_library_prh_novels,observer_100_greatest_novels_2003,penguin_100_classics,worldcat_library100	ulysses|joyce
13	One Hundred Years of Solitude	Gabriel García Márquez	1967	bbc_big_read_top100,bokklubben_world_library,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,le_monde_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	one hundred years of solitude|marquez
12	Pride and Prejudice	Jane Austen	1813	bbc_big_read_top100,bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,pbs_great_american_read,penguin_100_classics,worldcat_library100	pride and prejudice|austen
12	Jane Eyre	Charlotte Brontë	1847	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	jane eyre|bronte
12	To Kill a Mockingbird	Harper Lee	1960	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels,worldcat_library100	to kill a mockingbird|lee
12	Moby-Dick	Herman Melville	1851	bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	moby dick|melville
12	Frankenstein	Mary Shelley	1818	bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	frankenstein|shelley
12	The Grapes of Wrath	John Steinbeck	1939	bbc_big_read_top100,classic_books_challenge,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,jeffrich_100_books,le_monde_100_books,modern_library_prh_novels,pbs_great_american_read,penguin_100_classics,time_100_novels,worldcat_library100	grapes of wrath|steinbeck
12	The Lord of the Rings	J.R.R. Tolkien	1954	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,le_monde_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels,worldcat_library100	lord of the rings|tolkien
11	Don Quixote	Miguel de Cervantes	1605	bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	don quixote|cervantes
11	Great Expectations	Charles Dickens	1861	bbc_big_read_top100,bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,pbs_great_american_read,penguin_100_classics,worldcat_library100	great expectations|dickens
11	Crime and Punishment	Fyodor Dostoyevsky	1866	bbc_big_read_top100,bokklubben_world_library,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,pbs_great_american_read,penguin_100_classics,worldcat_library100	crime and punishment|dostoevsky
11	Lord of the Flies	William Golding	1954	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003,time_100_novels,worldcat_library100	lord of the flies|golding
11	Anna Karenina	Leo Tolstoy	1878	bbc_big_read_top100,bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,observer_100_greatest_novels_2003,penguin_100_classics,worldcat_library100	anna karenina|tolstoy
10	Little Women	Louisa May Alcott	1868	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	little women|alcott
10	Lolita	Vladimir Nabokov	1955	bokklubben_world_library,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,le_monde_100_books,modern_library_prh_novels,observer_100_greatest_novels_2003,penguin_100_classics,time_100_novels	lolita|nabokov
10	Animal Farm	George Orwell	1946	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,great_books_western_world,greatest_books_top200,modern_library_prh_novels,time_100_novels,worldcat_library100	animal farm|orwell
10	Midnight's Children	Salman Rushdie	1981	bbc_big_read_top100,bokklubben_world_library,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,le_monde_100_books,modern_library_prh_novels,time_100_novels	midnights children|rushdie
10	War and Peace	Leo Tolstoy	1869	bbc_big_read_top100,bokklubben_world_library,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,pbs_great_american_read,penguin_100_classics,worldcat_library100	war and peace|tolstoy
10	The Adventures of Huckleberry Finn	Mark Twain	1884	bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_lifetime_100_pdf,great_books_western_world,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,penguin_100_classics,worldcat_library100	adventures of huckleberry finn|twain
9	Things Fall Apart	Chinua Achebe	1958	bokklubben_world_library,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,time_100_novels	things fall apart|achebe
9	Alice's Adventures in Wonderland	Lewis Carroll	1865	bbc_big_read_top100,classic_books_challenge,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,pbs_great_american_read,worldcat_library100	alices adventures in wonderland|carroll
9	Heart of Darkness	Joseph Conrad	1899	classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,modern_library_prh_novels,pbs_great_american_read,penguin_100_classics	heart of darkness|conrad
9	The Brothers Karamazov	Fyodor Dostoevsky	1880	bokklubben_world_library,classic_books_challenge,goodreads_lifetime_100_pdf,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,observer_100_greatest_novels_2003,penguin_100_classics	brothers karamazov|dostoevsky
